date,gross_return,net_return,turnover,trading_cost,growth_gross,drawdown_gross,growth_net,drawdown_net,model
2022-10-04,0.02154532362279524,0.021545323622795154,0.0,0.0,1.0521795003154057,-0.14095191735988566,1.0503685091748738,-0.1412014916963914,Base Equity Minimum-Variance
2022-10-05,-0.004039645318395773,-0.004039645318395735,0.0,0.0,1.0479290683228446,-0.1444221669251997,1.0461253929441952,-0.1446707330699054,Base Equity Minimum-Variance
2022-10-06,-0.008327321562190074,-0.008327321562190071,0.0,0.0,1.039202625996554,-0.15154683866269525,1.0374139704027765,-0.1517933349171845,Base Equity Minimum-Variance
2022-10-07,-0.018569874620763576,-0.018569874620763538,0.0,0.0,1.01990476352623,-0.16730250749031939,1.0181493230425684,-0.16754442634026834,Base Equity Minimum-Variance
2022-10-10,0.0031420808334532094,0.0031420808334532424,0.0,0.0,1.0231093867356533,-0.1646861046590402,1.0213484305160938,-0.1649287836375708,Base Equity Minimum-Variance
2022-10-11,0.008385083604584448,0.008385083604584453,0.0,0.0,1.0316882444800668,-0.15768192781053525,1.0299125224953825,-0.15792664167258974,Base Equity Minimum-Variance
2022-10-12,-0.004832168992150792,-0.004832168992150776,0.0,0.0,1.0267029525355238,-0.16175215108049734,1.0249358111395526,-0.16199568244381568,Base Equity Minimum-Variance
2022-10-13,0.018142175679866115,0.01814217567986609,0.0,0.0,1.0453295778714604,-0.14654451134212998,1.0435303766858324,-0.14679246089422515,Base Equity Minimum-Variance
2022-10-14,-0.00969185834082831,-0.009691858340828308,0.0,0.0,1.0351983916832523,-0.15481608103840439,1.033416628100642,-0.155061627498565,Base Equity Minimum-Variance
2022-10-17,0.010746274345467077,0.010746274345467155,0.0,0.0,1.046322917602267,-0.145733502772866,1.0445220066993792,-0.14598168794265198,Base Equity Minimum-Variance
2022-10-18,0.013227807722052457,0.013227807722052454,0.0,0.0,1.0601634759714869,-0.13443342980415407,1.058338742965451,-0.13468489791964566,Base Equity Minimum-Variance
2022-10-19,-0.010121463221225181,-0.010121463221225202,0.0,0.0,1.0494330703409551,-0.1431942300099135,1.0476268063029284,-0.14344315290012277,Base Equity Minimum-Variance
2022-10-20,0.0009651325030170905,0.0009651325030171076,0.0,0.0,1.0504459123068821,-0.14236729891252353,1.0486379049847234,-0.14261646204630474,Base Equity Minimum-Variance
2022-10-21,0.022315207302799792,0.0223152073027999,0.0,0.0,1.073886830600389,-0.12322904739809615,1.0720384772200313,-0.12348377065886007,Base Equity Minimum-Variance
2022-10-24,0.012998986139550035,0.012998986139550084,0.0,0.0,1.0878462706268088,-0.1118319139376639,1.0859738905264789,-0.1120899483425638,Base Equity Minimum-Variance
2022-10-25,0.008205862028581683,0.008205862028581645,0.0,0.0,1.0967729870318794,-0.10454372916524701,1.0948852424387812,-0.10480388096487214,Base Equity Minimum-Variance
2022-10-26,0.01171385299776876,0.011713852997768726,0.0,0.0,1.1096204245738945,-0.09405448604275857,1.1077105672181353,-0.09431768522232165,Base Equity Minimum-Variance
2022-10-27,-0.0010199095773936611,-0.0010199095773936184,0.0,0.0,1.1084887120756,-0.09497846854904046,1.1065808026016495,-0.09524139928923936,Base Equity Minimum-Variance
2022-10-28,0.022314172654522308,0.0223141726545224,0.0,0.0,1.133223720582444,-0.07478366184018348,1.1312732376870827,-0.07505245966231544,Base Equity Minimum-Variance
2022-10-31,-0.00826552542323746,-0.008265525423237441,0.0,0.0,1.1238570311097542,-0.082431061005238,1.121922669980352,-0.08269763707213751,Base Equity Minimum-Variance
2022-11-01,-0.003539484347461002,-0.003597838327793035,0.05856125698452645,5.8561256984526457e-05,1.1198791567393573,-0.08567878190252631,1.1178861735974768,-0.08599794267165439,Base Equity Minimum-Variance
2022-11-02,-0.017661359369383622,-0.017661359369383622,0.0,0.0,1.1001005685019012,-0.10182693751439842,1.0981427841515066,-0.10214046147048628,Base Equity Minimum-Variance
2022-11-03,-0.006679659900774589,-0.0066796599007745705,0.0,0.0,1.0927522708476598,-0.10782642810383936,1.0908075638308847,-0.10813785782652996,Base Equity Minimum-Variance
2022-11-04,0.014642204906983865,0.014642204906983869,0.0,0.0,1.1087525735099832,-0.09476303985154,1.1067793916945845,-0.09507902959204428,Base Equity Minimum-Variance
2022-11-07,0.009704033050484649,0.009704033050484728,0.0,0.0,1.1195119451281341,-0.08597859047173895,1.1175196154911842,-0.0862976465871288,Base Equity Minimum-Variance
2022-11-08,0.005628617283623438,0.005628617283623516,0.0,0.0,1.1258132494117052,-0.08083391376846638,1.1238097057137262,-0.08115476572862157,Base Equity Minimum-Variance
2022-11-09,-0.010924301171097167,-0.010924301171097217,0.0,0.0,1.1135145264127202,-0.09087516092071835,1.1115328700295073,-0.09119250779742949,Base Equity Minimum-Variance
2022-11-10,0.02892495349297742,0.028924953492977412,0.0,0.0,1.1457228823029628,-0.06457876723103961,1.1436839066010265,-0.06490529335140072,Base Equity Minimum-Variance
2022-11-11,-0.0008035872896150127,-0.0008035872896150487,0.0,0.0,1.144802193957323,-0.06533045984412889,1.1427648567503446,-0.06565672357224994,Base Equity Minimum-Variance
2022-11-14,-0.005555152735187796,-0.005555152735187807,0.0,0.0,1.1384426429183119,-0.07052269189662252,1.1364166234306914,-0.07084714317990182,Base Equity Minimum-Variance
2022-11-15,0.010896219238121379,0.010896219238121452,0.0,0.0,1.1508473635455763,-0.060394903370669106,1.148799268105438,-0.06072288994626318,Base Equity Minimum-Variance
2022-11-16,-0.0010862161261876737,-0.0010862161261876446,0.0,0.0,1.1495972945805126,-0.06141551757887587,1.1475514238146693,-0.06174314789016244,Base Equity Minimum-Variance
2022-11-17,6.538788842804545e-05,6.538788842802568e-05,0.0,0.0,1.149672464320148,-0.061354145521459014,1.1476264597791352,-0.0616817972557997,Base Equity Minimum-Variance
2022-11-18,0.010672455198649681,0.010672455198649677,0.0,0.0,1.161942292188726,-0.05133648969213844,1.159874451755913,-0.05166763827493481,Base Equity Minimum-Variance
2022-11-21,0.005477750896281148,0.005477750896281108,0.0,0.0,1.1683071226211896,-0.046139947298280415,1.1662279550735926,-0.04647290983052288,Base Equity Minimum-Variance
