date,fund,family,method,periods_per_year,gross_return,net_return,turnover,trading_cost,growth_gross,drawdown_gross,growth_net,drawdown_net
2023-12-21,Equity Risk Parity,equity,risk_parity,252,0.007834157927362688,0.00783415792736264,0.0,0.0,1.3194625412936816,-0.00686250992242754,1.3169544314411068,-0.00686250992242754
2023-12-22,Equity Risk Parity,equity,risk_parity,252,0.0028724989874053908,0.002872498987405381,0.0,0.0,1.323252696107467,-0.004009723487825356,1.3207373817118804,-0.004009723487825467
2023-12-26,Equity Risk Parity,equity,risk_parity,252,0.005481798685216105,0.005481798685216033,0.0,0.0,1.3305065009971975,0.0,1.3279773981544643,0.0
2023-12-27,Equity Risk Parity,equity,risk_parity,252,0.002059789598191174,0.0020597895981910863,0.0,0.0,1.333247064448277,0.0,1.3307127521858158,0.0
2023-12-28,Equity Risk Parity,equity,risk_parity,252,0.0018481505225087572,0.0018481505225087513,0.0,0.0,1.3357111057070703,0.0,1.333172109654077,0.0
2023-12-29,Equity Risk Parity,equity,risk_parity,252,-0.002741307626590244,-0.0027413076265901948,0.0,0.0,1.3320495106660744,-0.0027413076265901948,1.3295174747823248,-0.0027413076265901948
2021-01-01,Crypto Equal-Weight,crypto,equal_weight,365,0.011329133285298942,0.010317804152013554,1.0,0.001,1.011329133285299,0.0,1.0103178041520136,0.0
2021-01-02,Crypto Equal-Weight,crypto,equal_weight,365,0.019978567082061756,0.019978567082061804,0.0,0.0,1.0315340402166826,0.0,1.0305025061764659,0.0
2021-01-03,Crypto Equal-Weight,crypto,equal_weight,365,0.11648313458836891,0.11648313458836901,0.0,0.0,1.1516903586557266,0.0,1.1505386682970706,0.0
2021-01-04,Crypto Equal-Weight,crypto,equal_weight,365,0.04302587474388934,0.043025874743889414,0.0,0.0,1.201242843770993,0.0,1.2000416009272217,0.0
2021-01-05,Crypto Equal-Weight,crypto,equal_weight,365,0.04815782515532088,0.048157825155320966,0.0,0.0,1.259092086610397,0.0,1.2578329945237863,0.0
2021-01-06,Crypto Equal-Weight,crypto,equal_weight,365,0.1901936330939375,0.19019363309393755,0.0,0.0,1.498563384962655,0.0,1.497064821577692,0.0
2021-01-07,Crypto Equal-Weight,crypto,equal_weight,365,-0.0025068850555913062,-0.002506885055591268,0.0,0.0,1.4948066588080358,-0.002506885055591268,1.4933118521492275,-0.002506885055591268
2021-01-08,Crypto Equal-Weight,crypto,equal_weight,365,-0.008428588309419711,-0.008428588309419727,0.0,0.0,1.4822075488787636,-0.010914343862938436,1.4807253413298846,-0.010914343862938325
2021-01-09,Crypto Equal-Weight,crypto,equal_weight,365,0.07992079206480074,0.07992079206480085,0.0,0.0,1.6006667501895815,0.0,1.5990660834393917,0.0
2021-01-10,Crypto Equal-Weight,crypto,equal_weight,365,-0.03004424938471311,-0.030044249384713062,0.0,0.0,1.5525759191650674,-0.030044249384713062,1.5510233432459022,-0.030044249384713062
2021-01-11,Crypto Equal-Weight,crypto,equal_weight,365,-0.12682212305461504,-0.12682212305461504,0.0,0.0,1.3556749448930832,-0.15305609694677658,1.3543192699481899,-0.15305609694677658
2021-01-12,Crypto Equal-Weight,crypto,equal_weight,365,-0.014374768661355005,-0.014374768661355009,0.0,0.0,1.33618743118025,-0.16523071962231162,1.3348512437490694,-0.16523071962231173
2021-01-13,Crypto Equal-Weight,crypto,equal_weight,365,0.0823804928059202,0.08238049280592019,0.0,0.0,1.4462632102419555,-0.0964620149255544,1.4448169470317132,-0.0964620149255545
2021-01-14,Crypto Equal-Weight,crypto,equal_weight,365,0.018401665009803524,0.01840166500980356,0.0,0.0,1.4728768613528311,-0.0798354116005815,1.471403984491478,-0.07983541160058161
2021-01-15,Crypto Equal-Weight,crypto,equal_weight,365,-0.04096622476883907,-0.040966224768839044,0.0,0.0,1.412538656793829,-0.11753108095327824,1.4111261181370347,-0.11753108095327847
