trading_date,ticker,sector,vader_compound,finvader_compound,headline_count
2021-08-06,NKE,Consumer,0.1468,0.11523333333333334,3
2021-08-06,O,RealEstate,0.0,-0.0013,1
2021-08-06,PLD,RealEstate,0.296,0.0065,1
2021-08-06,QCOM,Tech,0.17506,0.15882,5
2021-08-06,SBUX,Consumer,0.0,0.012066666666666668,3
2021-08-06,SLB,Energy,0.5106,0.3612,1
2021-08-06,T,Comm,0.5217499999999999,0.015449999999999998,2
2021-08-06,TMUS,Comm,0.0,-0.3549,1
2021-08-06,TTWO,Comm,0.0,-0.3378,1
2021-08-06,V,Financials,0.0,0.0194,1
2021-08-06,WMT,Consumer,0.22950000000000004,0.12316666666666666,3
2021-08-06,XOM,Energy,-0.4767,-0.4767,1
2021-08-09,ABBV,Healthcare,0.31845,0.19219999999999998,2
2021-08-09,ADBE,Tech,0.0,0.1899,2
2021-08-09,AEP,Utilities,0.0,0.0,1
2021-08-09,AMD,Tech,0.16679999999999998,0.03959999999999998,3
2021-08-09,AMGN,Healthcare,0.296,0.0,1
2021-08-09,AMT,RealEstate,0.0,0.0,1
2021-08-09,CAT,Industrials,0.5709,0.2914,1
2021-08-09,CMCSA,Comm,0.25375000000000003,0.095175,4
2021-08-09,CVX,Energy,0.10433333333333335,0.025183333333333318,6
2021-08-09,D,Utilities,0.2732,0.0077,1
2021-08-09,DIS,Consumer,0.1390090909090909,0.012972727272727276,11
2021-08-09,DUK,Utilities,0.48675,0.0155,2
2021-08-09,EA,Comm,0.0,-0.3549,1
2021-08-09,GILD,Healthcare,0.0,0.0039,1
2021-08-09,GS,Financials,0.030087500000000003,0.1506875,8
2021-08-09,INTC,Tech,0.0,0.009,1
2021-08-09,KO,Consumer,0.10115,0.03225,2
2021-08-09,MMM,Industrials,0.25756666666666667,0.009899999999999999,3
2021-08-09,MRK,Healthcare,0.119175,0.121975,4
2021-08-09,MS,Financials,0.008433333333333334,0.13053333333333336,3
2021-08-09,NKE,Consumer,0.10115,0.0368,2
2021-08-09,NUE,Materials,0.09106666666666667,0.005166666666666667,3
2021-08-09,O,RealEstate,-0.025675,0.00485,4
2021-08-09,OXY,Energy,0.2732,0.0077,1
2021-08-09,QCOM,Tech,0.050575,-0.03585,4
2021-08-09,SBUX,Consumer,0.0,0.0,2
2021-08-09,SLB,Energy,-0.32389999999999997,-0.42215,2
2021-08-09,T,Comm,0.1827,0.09295,4
2021-08-09,TMUS,Comm,0.17556666666666665,0.0034333333333333334,3
2021-08-09,TTWO,Comm,0.12726666666666667,0.2576,3
2021-08-09,UPS,Industrials,0.0,0.0194,1
2021-08-09,V,Financials,0.5654,0.31,2
2021-08-09,WFC,Financials,0.2202,0.31145,2
2021-08-09,WMT,Consumer,0.2789,0.16368333333333332,6
2021-08-09,XOM,Energy,-0.15571666666666664,-0.20771666666666666,6
2021-08-10,ABBV,Healthcare,0.0,0.0,1
2021-08-10,ABT,Healthcare,0.1591,0.011649999999999999,2
2021-08-10,AMD,Tech,0.0,0.1806,2
